UsuarioOuPerfil,PerfilNovoSugerido,Tela,BotaoOuMenu,Acao,Tabela,PermissaoLegado,Area,Criticidade,StatusEvidencia
a validar por Nivel/usuario,,"$AJUSTES EQUIPE.""MovSatAle.DB"".HorLan","$AJUSTES EQUIPE.""MovSatAle.DB"".HorLan",consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,"$AJUSTES EQUIPE.""MovSatAle.DB"".SeqSat","$AJUSTES EQUIPE.""MovSatAle.DB"".SeqSat",consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,"$AJUSTES EQUIPE.""MovSatAle.DB"".TipSat","$AJUSTES EQUIPE.""MovSatAle.DB"".TipSat",consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,$ImportarDadosClienteFidelidade1Click,$ImportarDadosClienteFidelidade1Click,consulta/abre tela,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,"0Select * From ""C:\Equipexe\Ger\Dados\Clientes"" C","0Select * From ""C:\Equipexe\Ger\Dados\Clientes"" C",consulta/abre tela,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,"0Select * From ""Z:\Equipexe\Sat\Filial\MovSatInt""","0Select * From ""Z:\Equipexe\Sat\Filial\MovSatInt""",consulta/abre tela,a validar,a validar,administrativa,critica,confirmado por UI
a validar por Nivel/usuario,,"2Select * From ""C:\Equipexe\Sat\Filial\Anotacoes"" A","2Select * From ""C:\Equipexe\Sat\Filial\Anotacoes"" A",consulta/abre tela,a validar,a validar,administrativa,critica,confirmado por UI
a validar por Nivel/usuario,,"2Select * From ""C:\Equipexe\Sat\Filial\MovSatAle"" A","2Select * From ""C:\Equipexe\Sat\Filial\MovSatAle"" A",consulta/abre tela,a validar,a validar,administrativa,critica,confirmado por UI
a validar por Nivel/usuario,,3Select * From 'S:\EquipExe\Sat\Filial\MovSatCli' M,3Select * From 'S:\EquipExe\Sat\Filial\MovSatCli' M,consulta/abre tela,a validar,a validar,administrativa,critica,confirmado por UI
a validar por Nivel/usuario,,"3Select * From 'z:\EquipExe\Sat\Filial\SolAltCli' A,","3Select * From 'z:\EquipExe\Sat\Filial\SolAltCli' A,",consulta/abre tela,a validar,a validar,administrativa,critica,confirmado por UI
a validar por Nivel/usuario,,"3Select * From "":ParadoxXInterbase:MovSatCliOcor"" M,","3Select * From "":ParadoxXInterbase:MovSatCliOcor"" M,",consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,5ExportaSat_u,5ExportaSat_u,consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,"8 ""S:\Equipexe\Ger\Dados\Clientes"" C","8 ""S:\Equipexe\Ger\Dados\Clientes"" C",consulta/abre tela,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,A SENHA GERADA PARA O CLIENTE,A SENHA GERADA PARA O CLIENTE,consulta/abre tela,a validar,a validar,administrativa,critica,confirmado por UI
a validar por Nivel/usuario,,AbreCepFacil,AbreCepFacil,consulta/abre tela,a validar,a validar,operacional,baixa,confirmado por UI
