Sistema,Executavel,MenuOuAcao,OperacaoPermissao,ModuloDominio,TipoAcao,PermissaoOrigem,Confianca,Observacao
LAVSOFT,LavSoft,ConIntEntrega1,ConIntEntrega1,lavanderia/rol,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,ConIntEntrega1Click,ConIntEntrega1,lavanderia/rol,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,Controle de Caixa,ControledeCaixa1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,Controle de Caixa (Desativado),ControledeCaixa1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,ControledeCaixa1,ControledeCaixa1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,ControledeCaixa1Click,ControledeCaixa1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,Controle de Lavagem,ControledeLavagem1,lavanderia/rol,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,Controle de Lavagem,ControledeLavagem1,lavanderia/rol,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,ControledeLavagem1,ControledeLavagem1,lavanderia/rol,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,ControledeLavagem1Click,ControledeLavagem1,lavanderia/rol,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,ControledeLavagem1p,ControledeLavagem1,lavanderia/rol,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,Controle de Metas,ControledeMetas1,lavanderia/rol,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,ControledeMetas1,ControledeMetas1,lavanderia/rol,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,ControledeMetas1Click,ControledeMetas1,lavanderia/rol,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,/Bloqueia Cores Repetidas no Controle de Entrada,Cores1,auth/permissao,criar/cadastrar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,Bloqueia Cores (Controle Ent.),Cores1,auth/permissao,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
