Tabela,Caminho,Campo,Tipo,Tamanho,Precisao,Obrigatoriedade,IndiceParadoxDetectado,PossivelChavePrimaria,PossivelChaveEstrangeira,NomeVisualCorrespondente,ModuloRelacionado,TelaRelacionada,EntidadeDominio,ClassificacaoCampo,Evidencia,NivelConfianca,Status
PedVenItem,EST\FILIAL\PedVenItem.DB,ObsItem,System.String,100,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,ObsItem,Configuracao/Admin,nao confirmado,Configuracao/Admin,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
PedVenItem,EST\FILIAL\PedVenItem.DB,SitTrib,System.String,10,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,SitTrib,Configuracao/Admin,nao confirmado,Configuracao/Admin,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
Clientes,Ger\Dados\Backup\Clientes.DB,Status,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.XG3;.XG4;.XG5;.XG6;.XG7;.XG8;.XG9;.XGA;.YG0;.YG1;.YG2;.YG3;.YG4;.YG5;.YG6;.YG7;.YG8;.YG9;.YGA,nao confirmado,nao confirmado,Status,Clientes,nao confirmado,Clientes,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.XG3,.XG4",alta,confirmado por schema
CadPacot,Ger\Dados\CadPacot.DB,Ativo,System.String,2,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,Ativo,Nao classificado,nao confirmado,Nao classificado,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadProces,Ger\Dados\CadProces.DB,Status,System.String,2,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,Status,Produtos/Servicos,nao confirmado,Produtos/Servicos,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadSit,Ger\Dados\CadSit.DB,GruSit,System.String,10,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,GruSit,Nao classificado,nao confirmado,Nao classificado,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CliComissao,Ger\Dados\CliComissao.DB,Status,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,Status,Nao classificado,nao confirmado,Nao classificado,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
Clientes,Ger\Dados\Clientes.DB,Status,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.XG3;.XG4;.XG5;.XG6;.XG7;.XG8;.XG9;.XGA;.YG0;.YG1;.YG2;.YG3;.YG4;.YG5;.YG6;.YG7;.YG8;.YG9;.YGA,nao confirmado,nao confirmado,Status,Clientes,nao confirmado,Clientes,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.XG3,.XG4",alta,confirmado por schema
Clientes-,Ger\Dados\Clientes-.DB,Status,System.String,2,0,nao confirmado,,nao confirmado,nao confirmado,Status,Clientes,nao confirmado,Clientes,status,confirmado por schema: coluna existente no dicionario Paradox,media,confirmado por schema
CompAutoPecas,Ger\Dados\CompAutoPecas.DB,Situacao,System.String,2,0,nao confirmado,.PX;.XG0;.YG0,possivel,nao confirmado,Situacao,Nao classificado,nao confirmado,Nao classificado,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
EncProg,Ger\Dados\EncProg.DB,Situacao,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.YG0;.YG1,nao confirmado,nao confirmado,Situacao,Nao classificado,nao confirmado,Nao classificado,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.YG0,.YG1",alta,confirmado por schema
Equipe,Ger\Dados\Equipe.DB,Posicao,System.String,10,0,nao confirmado,.PX,nao confirmado,nao confirmado,Posicao,Nao classificado,nao confirmado,Nao classificado,status,confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,alta,confirmado por schema
Forneced,Ger\Dados\Forneced.DB,Site,System.String,200,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,Site,Nao classificado,nao confirmado,Nao classificado,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
FunCli,Ger\Dados\FunCli.DB,SitFun,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.XG3;.XG4;.XG5;.YG0;.YG1;.YG2;.YG3;.YG4;.YG5,nao confirmado,nao confirmado,SitFun,Clientes,nao confirmado,Clientes,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.XG3,.XG4",alta,confirmado por schema
FunCliRou,Ger\Dados\FunCliRou.DB,SitRoupa,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.XG3;.YG0;.YG1;.YG2;.YG3,nao confirmado,nao confirmado,SitRoupa,Clientes,nao confirmado,Clientes,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.XG3,.YG0",alta,confirmado por schema
FunCliRouM,Ger\Dados\FunCliRouM.DB,SitMan,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,SitMan,Clientes,nao confirmado,Clientes,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
Interessad,Ger\Dados\Interessad.DB,SiteInt,System.String,100,0,nao confirmado,.PX;.XG0;.XG1;.YG0;.YG1,nao confirmado,nao confirmado,SiteInt,Nao classificado,nao confirmado,Nao classificado,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.YG0,.YG1",alta,confirmado por schema
