"FileName","File","ImportedDll","Machine"
"EquUnit.exe","D:\AtelieProd\Equipexe\Exe\EquUnit.exe","oleaut32.dll","0x014C"
"Estoque.exe","D:\AtelieProd\Equipexe\Exe\Estoque.exe","advapi32.dll","0x014C"
"Estoque.exe","D:\AtelieProd\Equipexe\Exe\Estoque.exe","oleaut32.dll","0x014C"
"Estoque.exe","D:\AtelieProd\Equipexe\Exe\Estoque.exe","wininet.dll","0x014C"
"Expedicao.exe","D:\AtelieProd\Equipexe\Exe\Expedicao.exe","advapi32.dll","0x014C"
"Expedicao.exe","D:\AtelieProd\Equipexe\Exe\Expedicao.exe","oleaut32.dll","0x014C"
"Financ.exe","D:\AtelieProd\Equipexe\Exe\Financ.exe","advapi32.dll","0x014C"
"Financ.exe","D:\AtelieProd\Equipexe\Exe\Financ.exe","oleaut32.dll","0x014C"
"Financeiro.exe","D:\AtelieProd\Equipexe\Exe\Financeiro.exe","advapi32.dll","0x014C"
"Financeiro.exe","D:\AtelieProd\Equipexe\Exe\Financeiro.exe","oleaut32.dll","0x014C"
"FranLav.exe","D:\AtelieProd\Equipexe\Exe\FranLav.exe","advapi32.dll","0x014C"
"FranLav.exe","D:\AtelieProd\Equipexe\Exe\FranLav.exe","oleaut32.dll","0x014C"
"GDS32.DLL","D:\AtelieProd\Equipexe\Exe\GDS32.DLL","ADVAPI32.dll","0x014C"
"GDS32.DLL","D:\AtelieProd\Equipexe\Exe\GDS32.DLL","WSOCK32.dll","0x014C"
"Gerenciador-old.exe","D:\AtelieProd\Equipexe\Exe\Gerenciador-old.exe","mscoree.dll","0x014C"
"Gerenciador.exe","D:\AtelieProd\Equipexe\Exe\Gerenciador.exe","mscoree.dll","0x014C"
"Idct.exe","D:\AtelieProd\Equipexe\Exe\Idct.exe","advapi32.dll","0x014C"
"Idct.exe","D:\AtelieProd\Equipexe\Exe\Idct.exe","oleaut32.dll","0x014C"
"ImpAutomLavSoft.exe","D:\AtelieProd\Equipexe\Exe\ImpAutomLavSoft.exe","advapi32.dll","0x014C"
"ImpAutomLavSoft.exe","D:\AtelieProd\Equipexe\Exe\ImpAutomLavSoft.exe","oleaut32.dll","0x014C"
"LavFacilLan.exe","D:\AtelieProd\Equipexe\Exe\LavFacilLan.exe","advapi32.dll","0x014C"
"LavFacilLan.exe","D:\AtelieProd\Equipexe\Estruturas\LavFacilLan.exe","oleaut32.dll","0x014C"
"LavFacilLan.exe","D:\AtelieProd\Equipexe\Estruturas\LavFacilLan.exe","wininet.dll","0x014C"
"LavSoft.exe","D:\AtelieProd\Equipexe\Exe\LavSoft.exe","advapi32.dll","0x014C"
"LavSoft.exe","D:\AtelieProd\Equipexe\Exe\LavSoft.exe","oleaut32.dll","0x014C"
"LeCamera.exe","D:\AtelieProd\Equipexe\Exe\LeCamera.exe","advapi32.dll","0x014C"
"LeCamera.exe","D:\AtelieProd\Equipexe\Exe\LeCamera.exe","oleaut32.dll","0x014C"
"libeay32.dll","D:\AtelieProd\Equipexe\Exe\libeay32.dll","ADVAPI32.dll","0x014C"
"libeay32.dll","D:\AtelieProd\Equipexe\Exe\libeay32.dll","WS2_32.dll","0x014C"
"LiveUpdate.exe","D:\AtelieProd\Equipexe\Exe\LiveUpdate.exe","advapi32.dll","0x014C"
"LiveUpdate.exe","D:\AtelieProd\Equipexe\Exe\LiveUpdate.exe","oleaut32.dll","0x014C"
"lotenfse.dll","D:\AtelieProd\Equipexe\Exe\lotenfse.dll","advapi32.dll","0x014C"
"lotenfse.dll","D:\AtelieProd\Equipexe\Exe\lotenfse.dll","borlndmm.dll","0x014C"
"lotenfse.dll","D:\AtelieProd\Equipexe\Exe\lotenfse.dll","oleaut32.dll","0x014C"
"lotenfse.dll","D:\AtelieProd\Equipexe\Exe\lotenfse.dll","wininet.dll","0x014C"
"LSLavSoft.exe","D:\AtelieProd\Equipexe\Exe\LSLavSoft.exe","advapi32.dll","0x014C"
"LSLavSoft.exe","D:\AtelieProd\Equipexe\Exe\LSLavSoft.exe","oleaut32.dll","0x014C"
"Lspt.exe","D:\AtelieProd\Equipexe\Exe\Lspt.exe","advapi32.dll","0x014C"
"Lspt.exe","D:\AtelieProd\Equipexe\Exe\Lspt.exe","oleaut32.dll","0x014C"
"MachLavLoc.exe","D:\AtelieProd\Equipexe\Exe\MachLavLoc.exe","advapi32.dll","0x014C"
"MachLavLoc.exe","D:\AtelieProd\Equipexe\Exe\MachLavLoc.exe","oleaut32.dll","0x014C"
"midas.dll","D:\AtelieProd\Equipexe\Exe\midas.dll","ADVAPI32.DLL","0x014C"
"midas.dll","D:\AtelieProd\Equipexe\Exe\midas.dll","OLEAUT32.DLL","0x014C"
"MP2032.DLL","D:\AtelieProd\Equipexe\Exe\MP2032.DLL","ADVAPI32.dll","0x014C"
"MSJET35.dll","D:\AtelieProd\Equipexe\Exe\MSJET35.dll","ADVAPI32.dll","0x014C"
"MSJET35.dll","D:\AtelieProd\Equipexe\Exe\MSJET35.dll","OLEAUT32.dll","0x014C"
