"Executavel","Categoria","Texto","Origem"
"LavSoft","operacional"," aparecer no Rol (Seq)","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","cadastro"," ativo neste grupo de produtos.","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","cadastro"," Atualizando Clientes","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal"," baixada na Nota N","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","financeiro"," baixada no financeiro","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal"," baixado na nota N","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," BDE 98 - Configura","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," Cancelada","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," Cancelado","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," Cancelado de","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," Cancelado,","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," cancelado. Confirma o extorno do Cancelamento","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," Cancelados De: ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","relatorio/impressao"," CFDestravaImpressoraFiscal1Click","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","cadastro"," CLIENTE DEVE TER EM SEU ESTOQUE:","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","cadastro"," CLIENTE GERADO AUTOM. PELO SISTEMA","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","cadastro"," cliente, para que juntos possamos analisar as necessidades ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","cadastro"," Cliente: ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","cadastro"," Cliente.: ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," colocado em estoque","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","financeiro"," como desconto","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," configurado para usar o local","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," CONTROLE DE ENTREGA ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," Controle Interno de Intrega","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal"," da Nota","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal"," da Nota Fiscal","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal"," da Nota: ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","financeiro"," de Desconto = R$ ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","relatorio/impressao"," desabilitado ao visualizar o relat","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","cadastro"," desmarcar este SubGrupo de produtos e limpar os valores atribu","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","cadastro"," deve ser alterado para produtos com tipo de controle diferente de S/ Controle.","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","cadastro"," do Cliente ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," do ROL","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," do Rol que se encontra no Local","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," em estoque","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," em Estoque. ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","relatorio/impressao"," em modo de impress","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal"," emitido nota - N","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," emitido pela Entrega das Pe","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," ENTREGAS DO DIA ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," esta em Estoque, Opera","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
