"Executavel","Categoria","Texto"
"LavSoft","outro"," selecionada, deseja cancelar a Entrega?"
"LavSoft","outro"," selecionada, deseja cancelar o Pagamento?"
"LavSoft","outro"," Select MA.CodMar, MA.DesMar, MA.Cancelado "
"LavSoft","outro"," Select MA.CodMar, MA.DesMar, MA.Cancelado, MG.CodMar, MG.GruPro "
"LavSoft","fiscal"," sendo desativado, "
"LavSoft","autenticacao/permissao"," Tb_MovCabCodUsuario.DisplayWidth"
"LavSoft","fiscal"," Usa Caminho do Nota Fiscal"
"LavSoft","fiscal"," Where ((Desativado is Null) or (Desativado=""N""))"
"LavSoft","outro"," Where ((Not(Cancelado=""S"")) or (Cancelado is Null)) And (Not(Baixa=""S"")) And (CodCli="""
"LavSoft","operacional"," Where (CodLoc="""") And (Rol="
"LavSoft","operacional"," Where (I.Rol="""
"LavSoft","operacional"," Where (I.Rol=M.Rol) "
"LavSoft","operacional"," Where (M.CodCli=C.CodCli) and (M.Rol > ""0"")"
"LavSoft","operacional"," Where (M.CodSerLav=S.CodSerLav) And (M.Rol="""
"LavSoft","operacional"," Where (M.Rol = CL.Rol)"
"LavSoft","operacional"," Where (M.Rol = MC.Rol)"
"LavSoft","operacional"," Where (M.Rol > ""0"")"
"LavSoft","outro"," Where (Not(M.Cancelado=""S""))"
"LavSoft","outro"," Where (NOT(MA.Cancelado = ""S"")) "
"LavSoft","operacional"," Where (Not(Rol=""""))"
"LavSoft","operacional"," Where (Rol="
"LavSoft","operacional"," Where (Rol="""
"LavSoft","operacional"," Where Controle1="""
"LavSoft","operacional"," WHERE I.Rol = "
"LavSoft","outro","- Cancelamento de: "
"LavSoft","fiscal","- Desativado: "
"LavSoft","operacional","- Ordenando por Rol"
"LavSoft","operacional","-2a Ord.: Rol"
"LavSoft","outro","-Apenas Cancelado"
"LavSoft","operacional","-Campo: Rol"
"LavSoft","outro","-Cancela|Cancela a tabela de pre"
"LavSoft","outro","-Cancelados Ate: "
"LavSoft","fiscal","-Fixada ( Nota Fiscal )"
"LavSoft","operacional","-Fixada (SubRol)"
"LavSoft","fiscal","-Nota Fiscal: Com Notas"
"LavSoft","fiscal","-Nota Fiscal: Sem Notas"
"LavSoft","operacional","-Posicao: Estoque"
"LavSoft","operacional","-Rol: "
"LavSoft","operacional","-Rol/Loc:"
"LavSoft","fiscal","-Tipo Nota.: "
"LavSoft","autenticacao/permissao","-Usuario: "
"LavSoft","operacional","-Where (I.CodPro=P.CodPro) And (I.Rol=M.Rol)  "
"LavSoft","operacional",", conflito Rol "
"LavSoft","operacional",", M.OBSROL, C.ROTEIRO, "
"LavSoft","fiscal",", NomCli,CodCli, Roteiro,FisJur,CodEmpree,GruCli,GruCli2,GruCli3,GruCli4,Desativado, CodTab"
"LavSoft","operacional",", Rol, CodPro ,Situacao"
"LavSoft","relatorio/impressao",",Bloqueia nos Relat"
"LavSoft","operacional",",Corta Recibo Pag.Rol (Mod. 4 CBM 1000 ou 24)"
