"CodSistema","Rotina","Op","NivelI","NivelA","NivelE","NivelT"
"LAVSOFT","","ExcluiConfiguraoColunas1","","","",""
"LAVSOFT","","ExcluiConfiguraoColunas1","","","",""
"LAVSOFT","","Exportacao1","","","",""
"LAVSOFT","","ExtratoCliente1","","","",""
"LAVSOFT","","Faturamento1","","","",""
"LAVSOFT","","Faturamento1","","","",""
"LAVSOFT","","Faturamento1","","","",""
"LAVSOFT","","Faturamento1","","","",""
"LAVSOFT","","FechamentodeCaixa1","","","",""
"LAVSOFT","","Feriados1","","","",""
"LAVSOFT","","Feriados1","","","",""
"LAVSOFT","","Feriados1","","","",""
"LAVSOFT","","FiliaisMatriz1","","","",""
"LAVSOFT","","FiliaisMatriz1","","","",""
"LAVSOFT","","FiliaisMatriz1","","","",""
"LAVSOFT","","FiliaisMatriz1","","","",""
"LAVSOFT","","Filialmatriz1","","","",""
"LAVSOFT","","FormadePagamento1","","","",""
"LAVSOFT","","FormadePagamento1","","","",""
"LAVSOFT","","FormadePagamento1","","","",""
"LAVSOFT","","FormadePagamento1","","","",""
"LAVSOFT","","GravaColunas1","","","",""
"LAVSOFT","","GravaColunas1","","","",""
"LAVSOFT","","GravaColunas1","","","",""
"LAVSOFT","","GravaColunas1","","","",""
"LAVSOFT","","GrupoEntradas1","","","",""
"LAVSOFT","","GrupoEntradas1","","","",""
"LAVSOFT","","GrupoEntradas1","","","",""
"LAVSOFT","","GrupoEntradas1","","","",""
"LAVSOFT","","Importacao1","","","",""
"LAVSOFT","","Importacao1","","","",""
"LAVSOFT","","Importacao1","","","",""
"LAVSOFT","","Importacao1","","","",""
"LAVSOFT","","Inclusao1","","","",""
"LAVSOFT","","Inclusao1","","","",""
"LAVSOFT","","InformaRolnoEstoque1","","","",""
"LAVSOFT","","Lanamentos1","","","",""
"LAVSOFT","","LancamentoRol1","","","",""
"LAVSOFT","","Listagem1","","","",""
"LAVSOFT","","Listagem1","","","",""
"LAVSOFT","","Listagem1","","","",""
"LAVSOFT","","Listagem1","","","",""
"LAVSOFT","","Localizacao1","","","",""
"LAVSOFT","","Localizacao1","","","",""
"LAVSOFT","","Localizacao1","","","",""
"LAVSOFT","","LogSistema1","","","",""
"LAVSOFT","","LogSistema1","","","",""
"LAVSOFT","","LogSistema1","","","",""
"LAVSOFT","","LogSistema1","","","",""
"LAVSOFT","","MalaDiretaRemetente1","","","",""
"LAVSOFT","","MalaDiretaRemetente1","","","",""
"LAVSOFT","","MalaDiretaRemetente1","","","",""
"LAVSOFT","","MalaDiretaRemetente1","","","",""
"LAVSOFT","","Manutencao1","","","",""
"LAVSOFT","","Manutencao1","","","",""
"LAVSOFT","","Manutencao1","","","",""
"LAVSOFT","","Manutencao1","","","",""
"LAVSOFT","","MarcaEntrega","","","",""
"LAVSOFT","","Marcas1","","","",""
"LAVSOFT","","Marcas1","","","",""
"LAVSOFT","","Marcas1","","","",""
"LAVSOFT","","MenuEntradaRol1","","","",""
"LAVSOFT","","MenuEntradaRol1","","","",""
"LAVSOFT","","MenuEntradaRol1","","","",""
"LAVSOFT","","MenuEntradaRol1","","","",""
"LAVSOFT","","MenuLancamentoRol1","","","",""
"LAVSOFT","","MenuRetiradas1","","","",""
"LAVSOFT","","MovGrupoClientes1","","","",""
"LAVSOFT","","MovGrupoClientes1","","","",""
"LAVSOFT","","MovGrupoClientes1","","","",""
"LAVSOFT","","MovimentoAnalitico1","","","",""
"LAVSOFT","","MovimentoAnalitico1","","","",""
"LAVSOFT","","MovimentoAnalitico1","","","",""
"LAVSOFT","","MovimentoAnaliticoEntrada1","","","",""
"LAVSOFT","","MovimentoAnaliticoEntrada1","","","",""
"LAVSOFT","","MovimentoAnaliticoEntrada1","","","",""
"LAVSOFT","","MovimentoEntradaSaidaSinttico1","","","",""
"LAVSOFT","","MovimentoEntradaSaidaSinttico1","","","",""
"LAVSOFT","","MovimentoEntradaSaidaSinttico1","","","",""
"LAVSOFT","","MovimentoporDiadeSemana1","","","",""
"LAVSOFT","","MovimentoporDiadeSemana1","","","",""
"LAVSOFT","","MovimentoporDiadeSemana1","","","",""
"LAVSOFT","","MovimentoPorServicosExecutados1","","","",""
"LAVSOFT","","MovimentoPorServicosExecutados1","","","",""
"LAVSOFT","","MovimentoPorServicosExecutados1","","","",""
"LAVSOFT","","MovimentoPorServicoSintetico1","","","",""
"LAVSOFT","","MovimentoPorServicoSintetico1","","","",""
"LAVSOFT","","MovimentoPorServicoSintetico1","","","",""
"LAVSOFT","","MovimentoPorServicosPeso1","","","",""
"LAVSOFT","","MovimentoPorServicosPeso1","","","",""
"LAVSOFT","","MovimentoPorServicosPeso1","","","",""
"LAVSOFT","","MovimentoProduto1","","","",""
"LAVSOFT","","MovimentoProduto1","","","",""
"LAVSOFT","","MovimentoProduto1","","","",""
"LAVSOFT","","MovimentoProduto1","","","",""
"LAVSOFT","","MovimentoProdutoMensal1","","","",""
"LAVSOFT","","MovimentoProdutoMensal1","","","",""
"LAVSOFT","","MovimentoProdutoMensal1","","","",""
"LAVSOFT","","MovimentoResumidoNotaFiscal1","","","",""
"LAVSOFT","","MovimentoResumidoNotaFiscal1","","","",""
"LAVSOFT","","MovimentoResumidoNotaFiscal1","","","",""
"LAVSOFT","","MovimentoServicoMensal1","","","",""
"LAVSOFT","","MovimentoServicoMensal1","","","",""
"LAVSOFT","","MovimentoServicoMensal1","","","",""
"LAVSOFT","","MovimentoSintetico1","","","",""
"LAVSOFT","","MovimentoSintetico1","","","",""
"LAVSOFT","","MovimentoSintetico1","","","",""
"LAVSOFT","","MovimentoSintticoEntrada1","","","",""
"LAVSOFT","","MovimentoSintticoEntrada1","","","",""
"LAVSOFT","","MovimentoSintticoEntrada1","","","",""
"LAVSOFT","","MovProAna1","","","",""
"LAVSOFT","","MovProAna1","","","",""
"LAVSOFT","","MovProAna1","","","",""
"LAVSOFT","","MovProAnaSer1","","","",""
"LAVSOFT","","MovProAnaSer1","","","",""
"LAVSOFT","","MovProAnaSer1","","","",""
"LAVSOFT","","MovProdServ1","","","",""
"LAVSOFT","","MovProdServ1","","","",""
"LAVSOFT","","MovProdServ1","","","",""
"LAVSOFT","","MovProSin1","","","",""
"LAVSOFT","","MovProSin1","","","",""
"LAVSOFT","","MovProSin1","","","",""
"LAVSOFT","","NotaFiscal1","","","",""
"LAVSOFT","","Pagamento","","","",""
"LAVSOFT","","PagamentodeVariosRols1","","","",""
"LAVSOFT","","PagamentoRol1","","","",""
"LAVSOFT","","Parametros1","","","",""
"LAVSOFT","","Parametros1","","","",""
"LAVSOFT","","Parametros1","","","",""
"LAVSOFT","","Parametros1","","","",""
"LAVSOFT","","Parametros1","","","",""
"LAVSOFT","","Passadoria1","","","",""
"LAVSOFT","","Passadoria1","","","",""
"LAVSOFT","","Passadoria1","","","",""
"LAVSOFT","","PgtosporTabela1","","","",""
"LAVSOFT","","PgtosporTabela1","","","",""
"LAVSOFT","","PgtosporTabela1","","","",""
"LAVSOFT","","PgtosporTabela1","","","",""
"LAVSOFT","","PontosEntregues1","","","",""
"LAVSOFT","","PontosEntregues1","","","",""
"LAVSOFT","","PontosEntregues1","","","",""
"LAVSOFT","","PrevisoEntrega1","","","",""
"LAVSOFT","","PrevisoEntrega1","","","",""
"LAVSOFT","","PrevisoEntrega1","","","",""
"LAVSOFT","","ReciboCaixa1","","","",""
"LAVSOFT","","ReciboCaixa1","","","",""
"LAVSOFT","","ReciboCaixa1","","","",""
"LAVSOFT","","ReciboCaixa1","","","",""
"LAVSOFT","","Reemisso2","","","",""
"LAVSOFT","","RelatConfRol1","","","",""
"LAVSOFT","","RelatConfRol1","","","",""
"LAVSOFT","","RelatConfRol1","","","",""
"LAVSOFT","","RelatConfRol1","","","",""
"LAVSOFT","","RelatorioparaEntrega1","","","",""
"LAVSOFT","","RelatorioparaEntrega1","","","",""
"LAVSOFT","","RelatorioparaEntrega1","","","",""
"LAVSOFT","","RelControlePontos1","","","",""
"LAVSOFT","","RelControlePontos1","","","",""
"LAVSOFT","","RelControlePontos1","","","",""
"LAVSOFT","","RelEstoquenoCli1","","","",""
"LAVSOFT","","RelEstoquenoCli1","","","",""
"LAVSOFT","","RelEstoquenoCli1","","","",""
"LAVSOFT","","RelEstoquenoCli1","","","",""
"LAVSOFT","","RelFatPrecos1","","","",""
"LAVSOFT","","RelFatPrecos1","","","",""
"LAVSOFT","","RelFatPrecos1","","","",""
"LAVSOFT","","RelFatPrecos1","","","",""
"LAVSOFT","","RelFreCli1","","","",""
"LAVSOFT","","RelFreCli1","","","",""
"LAVSOFT","","RelFreCli1","","","",""
"LAVSOFT","","ResFatDiaDia1","","","",""
"LAVSOFT","","ResFatDiaDia1","","","",""
"LAVSOFT","","ResFatDiaDia1","","","",""
"LAVSOFT","","ResFatDiaDia1","","","",""
"LAVSOFT","","ResFatNotFis1","","","",""
"LAVSOFT","","ResFatNotFis1","","","",""
"LAVSOFT","","ResFatNotFis1","","","",""
"LAVSOFT","","ResFatNotFis1","","","",""
"LAVSOFT","","ResTipTabEmp1","","","",""
"LAVSOFT","","ResTipTabEmp1","","","",""
"LAVSOFT","","ResTipTabEmp1","","","",""
"LAVSOFT","","ResTipTabEmp1","","","",""
"LAVSOFT","","ResTipTabGru1","","","",""
"LAVSOFT","","ResTipTabGru1","","","",""
"LAVSOFT","","ResTipTabGru1","","","",""
"LAVSOFT","","ResTipTabGru1","","","",""
"LAVSOFT","","Resumida1","","","",""
"LAVSOFT","","Resumida1","","","",""
"LAVSOFT","","Resumida1","","","",""
"LAVSOFT","","Resumida1","","","",""
"LAVSOFT","","ResumoPorEmpree1","","","",""
"LAVSOFT","","ResumoPorEmpree1","","","",""
"LAVSOFT","","ResumoPorEmpree1","","","",""
"LAVSOFT","","ResumoPorEmpree1","","","",""
"LAVSOFT","","RolsCancelados1","","","",""
"LAVSOFT","","RolsCancelados1","","","",""
"LAVSOFT","","RolsCancelados1","","","",""
"LAVSOFT","","RolsCancelados1","","","",""
"LAVSOFT","","ROLsemAberto1","","","",""
"LAVSOFT","","ROlsPagos1","","","",""
"LAVSOFT","","ROlsPagos1","","","",""
"LAVSOFT","","ROlsPagos1","","","",""
"LAVSOFT","","RSL1","","","",""
"LAVSOFT","","RSL1","","","",""
"LAVSOFT","","RSL1","","","",""
"LAVSOFT","","RSL1","","","",""
"LAVSOFT","","SaldoControleEntrada1","","","",""
"LAVSOFT","","SaldoControleEntrada1","","","",""
"LAVSOFT","","SaldoControleEntrada1","","","",""
"LAVSOFT","","SB_MudaValBase","","","",""
"LAVSOFT","","SB_MudaValBase","","","",""
"LAVSOFT","","SB_MudaValBase","","","",""
"LAVSOFT","","SB_MudaValBase","","","",""
"LAVSOFT","","SitRol","","","",""
"LAVSOFT","","SituacaodoRols1","","","",""
"LAVSOFT","","SituacaodoRols1","","","",""
"LAVSOFT","","SituacaodoRols1","","","",""
"LAVSOFT","","TabeladePreco1","","","",""
"LAVSOFT","","TabeladePreco1","","","",""
"LAVSOFT","","TabeladePreco1","","","",""
"LAVSOFT","","TabeladePreco1","","","",""
"LAVSOFT","","Terceirizacao1","","","",""
"LAVSOFT","","Terceirizacao1","","","",""
"LAVSOFT","","TiposdeDescontos1","","","",""
"LAVSOFT","","TiposdeDescontos1","","","",""
"LAVSOFT","","TiposdeDescontos1","","","",""
"LAVSOFT","","TiposdeDescontos1","","","",""
"LAVSOFT","","TiposdeEntrada1","","","",""
"LAVSOFT","","TiposdeEntrada1","","","",""
"LAVSOFT","","TiposdeEntrada1","","","",""
"LAVSOFT","","TiposdeEntrada1","","","",""
"LAVSOFT","","TiposdeServico1","","","",""
"LAVSOFT","","TiposdeServico1","","","",""
"LAVSOFT","","TiposdeServico1","","","",""
"LAVSOFT","","TiposdeServico1","","","",""
"LAVSOFT","","TiposdeTecido1","","","",""
"LAVSOFT","","TiposdeTecido1","","","",""
"LAVSOFT","","TiposdeTecido1","","","",""
"LAVSOFT","","TiposdeTecido1","","","",""
"LAVSOFT","","TransporteporNota1","","","",""
"LAVSOFT","","TransporteporNota1","","","",""
"LAVSOFT","","TransporteporNota1","","","",""
"LAVSOFT","","TransporteporNota1","","","",""
"LAVSOFT","","Usuarios1","","","",""
"LAVSOFT","","Usuarios1","","","",""
"LAVSOFT","","Usuarios1","","","",""
"LAVSOFT","","Usuarios1","","","",""
"LAVSOFT","","VerificaLocalizaoporPeas1","","","",""
"LAVSOFT","","VoltarRolaProduo1","","","",""
