"Source","Target","RelativePath","Extension","Length","LastWriteTime","CopiedAt","ReadOnly"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadPre.YG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CadPre.YG0","ESC\FILIAL\CadPre.YG0",".YG0","4096","15/01/2019 15:52:42","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadPre.YG1","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CadPre.YG1","ESC\FILIAL\CadPre.YG1",".YG1","4096","15/01/2019 15:52:42","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadRes.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CadRes.DB","ESC\FILIAL\CadRes.DB",".DB","2048","15/01/2019 15:52:44","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadRes.PX","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CadRes.PX","ESC\FILIAL\CadRes.PX",".PX","2048","15/01/2019 15:52:44","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadTur.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CadTur.DB","ESC\FILIAL\CadTur.DB",".DB","2048","15/01/2019 15:52:48","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadTur.PX","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CadTur.PX","ESC\FILIAL\CadTur.PX",".PX","2048","15/01/2019 15:52:48","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadTur.XG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CadTur.XG0","ESC\FILIAL\CadTur.XG0",".XG0","34816","15/01/2019 15:52:48","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadTur.YG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CadTur.YG0","ESC\FILIAL\CadTur.YG0",".YG0","4096","15/01/2019 15:52:48","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CompTurmas.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CompTurmas.DB","ESC\FILIAL\CompTurmas.DB",".DB","2048","15/01/2019 15:53:02","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CompTurmas.PX","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CompTurmas.PX","ESC\FILIAL\CompTurmas.PX",".PX","2048","15/01/2019 15:53:02","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CompTurmas.XG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CompTurmas.XG0","ESC\FILIAL\CompTurmas.XG0",".XG0","34816","15/01/2019 15:53:02","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CompTurmas.XG1","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CompTurmas.XG1","ESC\FILIAL\CompTurmas.XG1",".XG1","34816","15/01/2019 15:53:02","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CompTurmas.YG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CompTurmas.YG0","ESC\FILIAL\CompTurmas.YG0",".YG0","4096","15/01/2019 15:53:02","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CompTurmas.YG1","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CompTurmas.YG1","ESC\FILIAL\CompTurmas.YG1",".YG1","4096","15/01/2019 15:53:02","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\MovPdv.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\MovPdv.DB","ESC\FILIAL\MovPdv.DB",".DB","2048","15/01/2019 15:53:54","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\MovPdv.PX","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\MovPdv.PX","ESC\FILIAL\MovPdv.PX",".PX","2048","15/01/2019 15:53:54","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\MovPdv.XG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\MovPdv.XG0","ESC\FILIAL\MovPdv.XG0",".XG0","34816","15/01/2019 15:53:54","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\MovPdv.XG1","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\MovPdv.XG1","ESC\FILIAL\MovPdv.XG1",".XG1","34816","15/01/2019 15:53:54","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\MovPdv.YG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\MovPdv.YG0","ESC\FILIAL\MovPdv.YG0",".YG0","4096","15/01/2019 15:53:54","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\MovPdv.YG1","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\MovPdv.YG1","ESC\FILIAL\MovPdv.YG1",".YG1","4096","15/01/2019 15:53:54","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\NotasEsc.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\NotasEsc.DB","ESC\FILIAL\NotasEsc.DB",".DB","2048","15/01/2019 15:54:16","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\NotasEsc.PX","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\NotasEsc.PX","ESC\FILIAL\NotasEsc.PX",".PX","2048","15/01/2019 15:54:16","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\NotasEsc.XG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\NotasEsc.XG0","ESC\FILIAL\NotasEsc.XG0",".XG0","34816","15/01/2019 15:54:16","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\NotasEsc.XG1","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\NotasEsc.XG1","ESC\FILIAL\NotasEsc.XG1",".XG1","34816","15/01/2019 15:54:16","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\NotasEsc.YG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\NotasEsc.YG0","ESC\FILIAL\NotasEsc.YG0",".YG0","4096","15/01/2019 15:54:16","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\NotasEsc.YG1","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\NotasEsc.YG1","ESC\FILIAL\NotasEsc.YG1",".YG1","4096","15/01/2019 15:54:16","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\NotCompEsc.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\NotCompEsc.DB","ESC\FILIAL\NotCompEsc.DB",".DB","2048","15/01/2019 15:54:16","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\NotCompEsc.PX","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\NotCompEsc.PX","ESC\FILIAL\NotCompEsc.PX",".PX","2048","15/01/2019 15:54:16","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\NotCompEsc.XG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\NotCompEsc.XG0","ESC\FILIAL\NotCompEsc.XG0",".XG0","34816","15/01/2019 15:54:16","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\NotCompEsc.YG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\NotCompEsc.YG0","ESC\FILIAL\NotCompEsc.YG0",".YG0","4096","15/01/2019 15:54:16","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\EST\DADOS\CadClaEst.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\DADOS\CadClaEst.DB","EST\DADOS\CadClaEst.DB",".DB","2048","15/01/2019 15:52:28","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\EST\DADOS\CadClaEst.PX","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\DADOS\CadClaEst.PX","EST\DADOS\CadClaEst.PX",".PX","2048","15/01/2019 15:52:28","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\EST\DADOS\CadClaEst.XG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\DADOS\CadClaEst.XG0","EST\DADOS\CadClaEst.XG0",".XG0","34816","15/01/2019 15:52:28","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\EST\DADOS\CadClaEst.YG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\DADOS\CadClaEst.YG0","EST\DADOS\CadClaEst.YG0",".YG0","4096","15/01/2019 15:52:28","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\EST\DADOS\CadClasFis.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\DADOS\CadClasFis.DB","EST\DADOS\CadClasFis.DB",".DB","2048","15/01/2019 15:52:28","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\EST\DADOS\CadClasFis.PX","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\DADOS\CadClasFis.PX","EST\DADOS\CadClasFis.PX",".PX","2048","15/01/2019 15:52:28","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\EST\DADOS\CadClasFis.XG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\DADOS\CadClasFis.XG0","EST\DADOS\CadClasFis.XG0",".XG0","34816","15/01/2019 15:52:28","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\EST\DADOS\CadClasFis.YG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\DADOS\CadClasFis.YG0","EST\DADOS\CadClasFis.YG0",".YG0","4096","15/01/2019 15:52:28","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\EST\DADOS\CadEst.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\DADOS\CadEst.DB","EST\DADOS\CadEst.DB",".DB","2048","15/01/2019 15:52:32","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\EST\DADOS\CadEst.PX","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\DADOS\CadEst.PX","EST\DADOS\CadEst.PX",".PX","2048","15/01/2019 15:52:32","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\EST\DADOS\CadEst.XG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\DADOS\CadEst.XG0","EST\DADOS\CadEst.XG0",".XG0","34816","15/01/2019 15:52:32","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\EST\DADOS\CadEst.YG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\DADOS\CadEst.YG0","EST\DADOS\CadEst.YG0",".YG0","4096","15/01/2019 15:52:32","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\EST\DADOS\CadFunEst.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\DADOS\CadFunEst.DB","EST\DADOS\CadFunEst.DB",".DB","2048","15/01/2019 15:52:34","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\EST\DADOS\CadFunEst.PX","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\DADOS\CadFunEst.PX","EST\DADOS\CadFunEst.PX",".PX","2048","15/01/2019 15:52:34","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\EST\DADOS\CadGruEst1.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\DADOS\CadGruEst1.DB","EST\DADOS\CadGruEst1.DB",".DB","2048","15/01/2019 15:52:34","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\EST\DADOS\CadGruEst1.PX","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\DADOS\CadGruEst1.PX","EST\DADOS\CadGruEst1.PX",".PX","2048","15/01/2019 15:52:34","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\EST\DADOS\CadGruEst1.XG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\DADOS\CadGruEst1.XG0","EST\DADOS\CadGruEst1.XG0",".XG0","34816","15/01/2019 15:52:34","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\EST\DADOS\CadGruEst1.YG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\DADOS\CadGruEst1.YG0","EST\DADOS\CadGruEst1.YG0",".YG0","4096","15/01/2019 15:52:34","23/05/2026 11:30:57","True"
