"FullName","DirectoryName","Name","Extension","Length","LastWriteTime"
"D:\AtelieProd\Equipexe\EST\DADOS\CadGruEst1.YG0","D:\AtelieProd\Equipexe\EST\DADOS","CadGruEst1.YG0",".YG0","4096","15/01/2019 15:52:34"
"D:\AtelieProd\Equipexe\EST\DADOS\CadGruEst2.DB","D:\AtelieProd\Equipexe\EST\DADOS","CadGruEst2.DB",".DB","2048","15/01/2019 15:52:34"
"D:\AtelieProd\Equipexe\EST\DADOS\CadGruEst2.PX","D:\AtelieProd\Equipexe\EST\DADOS","CadGruEst2.PX",".PX","2048","15/01/2019 15:52:34"
"D:\AtelieProd\Equipexe\EST\DADOS\CadGruEst2.XG0","D:\AtelieProd\Equipexe\EST\DADOS","CadGruEst2.XG0",".XG0","34816","15/01/2019 15:52:34"
"D:\AtelieProd\Equipexe\EST\DADOS\CadGruEst2.YG0","D:\AtelieProd\Equipexe\EST\DADOS","CadGruEst2.YG0",".YG0","4096","15/01/2019 15:52:34"
"D:\AtelieProd\Equipexe\EST\DADOS\CadGruEst3.DB","D:\AtelieProd\Equipexe\EST\DADOS","CadGruEst3.DB",".DB","2048","15/01/2019 15:52:36"
"D:\AtelieProd\Equipexe\EST\DADOS\CadGruEst3.PX","D:\AtelieProd\Equipexe\EST\DADOS","CadGruEst3.PX",".PX","2048","15/01/2019 15:52:36"
"D:\AtelieProd\Equipexe\EST\DADOS\CadGruEst3.XG0","D:\AtelieProd\Equipexe\EST\DADOS","CadGruEst3.XG0",".XG0","34816","15/01/2019 15:52:36"
"D:\AtelieProd\Equipexe\EST\DADOS\CadGruEst3.YG0","D:\AtelieProd\Equipexe\EST\DADOS","CadGruEst3.YG0",".YG0","4096","15/01/2019 15:52:36"
"D:\AtelieProd\Equipexe\EST\DADOS\CadGruEst4.DB","D:\AtelieProd\Equipexe\EST\DADOS","CadGruEst4.DB",".DB","2048","15/01/2019 15:52:36"
"D:\AtelieProd\Equipexe\EST\DADOS\CadGruEst4.PX","D:\AtelieProd\Equipexe\EST\DADOS","CadGruEst4.PX",".PX","2048","15/01/2019 15:52:36"
"D:\AtelieProd\Equipexe\EST\DADOS\CadGruEst4.XG0","D:\AtelieProd\Equipexe\EST\DADOS","CadGruEst4.XG0",".XG0","34816","15/01/2019 15:52:36"
"D:\AtelieProd\Equipexe\EST\DADOS\CadGruEst4.YG0","D:\AtelieProd\Equipexe\EST\DADOS","CadGruEst4.YG0",".YG0","4096","15/01/2019 15:52:36"
