"TableName","RelativePath","Directory","Length","ColumnCount","Extracted","ExtractedAt"
"AutoPecas","Ger\Dados\AutoPecas.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","4096","3","True","23/05/2026 11:39:33"
"Backup","Ger\Dados\Backup.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","30541824","11","True","23/05/2026 11:39:33"
"Clientes","Ger\Dados\Backup\Clientes.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados\Backup","8296448","124","True","23/05/2026 11:39:33"
"BlackList","Ger\Dados\BlackList.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","3","True","23/05/2026 11:39:33"
"CadArea","Ger\Dados\CadArea.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","7","True","23/05/2026 11:39:33"
"CadCart","Ger\Dados\CadCart.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","5","True","23/05/2026 11:39:33"
"CadCenCus","Ger\Dados\CadCenCus.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","10","True","23/05/2026 11:39:33"
"CadCla","Ger\Dados\CadCla.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","34816","15","True","23/05/2026 11:39:33"
"CadClaAlt","Ger\Dados\CadClaAlt.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","6","True","23/05/2026 11:39:33"
"CadClaProc","Ger\Dados\CadClaProc.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","4","True","23/05/2026 11:39:33"
"CadClaProj","Ger\Dados\CadClaProj.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","6","True","23/05/2026 11:39:33"
"CadClaSub","Ger\Dados\CadClaSub.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","34816","3","True","23/05/2026 11:39:33"
"CadCon","Ger\Dados\CadCon.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","7","True","23/05/2026 11:39:34"
"CadCont","Ger\Dados\CadCont.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","6","True","23/05/2026 11:39:34"
"CadContCon","Ger\Dados\CadContCon.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","7","True","23/05/2026 11:39:34"
"CadCpg","Ger\Dados\CadCpg.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","34816","14","True","23/05/2026 11:39:34"
"CadDesatCli","Ger\Dados\CadDesatCli.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","2","True","23/05/2026 11:39:34"
"CadDesc","Ger\Dados\CadDesc.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","13","True","23/05/2026 11:39:34"
"CadDescDia","Ger\Dados\CadDescDia.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","9","True","23/05/2026 11:39:34"
"CadDescGru","Ger\Dados\CadDescGru.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","3","True","23/05/2026 11:39:34"
"CadDescProd","Ger\Dados\CadDescProd.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","3","True","23/05/2026 11:39:34"
"CadDescTipEnt","Ger\Dados\CadDescTipEnt.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","3","True","23/05/2026 11:39:34"
"CadFaiCom","Ger\Dados\CadFaiCom.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","4","True","23/05/2026 11:39:34"
"CadFaixa","Ger\Dados\CadFaixa.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","5","True","23/05/2026 11:39:34"
"CadFpg","Ger\Dados\CadFpg.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","34816","32","True","23/05/2026 11:39:34"
"CadGruSerLav","Ger\Dados\CadGruSerLav.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","6","True","23/05/2026 11:39:35"
"CadInd","Ger\Dados\CadInd.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","3","True","23/05/2026 11:39:35"
"CadMarca","Ger\Dados\CadMarca.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","3","True","23/05/2026 11:39:35"
"CadMelhor","Ger\Dados\CadMelhor.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","8","True","23/05/2026 11:39:35"
"CadPacot","Ger\Dados\CadPacot.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","11","True","23/05/2026 11:39:35"
"CadPacotGru","Ger\Dados\CadPacotGru.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","5","True","23/05/2026 11:39:35"
"CadPdv","Ger\Dados\CadPdv.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","34816","6","True","23/05/2026 11:39:35"
"CadProcAnexo","Ger\Dados\CadProcAnexo.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","5","True","23/05/2026 11:39:35"
"CadProces","Ger\Dados\CadProces.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","13","True","23/05/2026 11:39:35"
"CadProcesAlt","Ger\Dados\CadProcesAlt.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","6","True","23/05/2026 11:39:35"
