Dominio,Tabela,Caminho,TamanhoArquivo,QtdColunas,ClassesCampo,CamposPrincipais,Criticidade
config_admin,PedVenConfItem,EST\FILIAL\PedVenConfItem.DB,2048,14,outro:6; fiscal_documento:4; id_codigo:2; status_situacao:2,SeqPed; CodProEst; SeqPro; SeqConf; ValUnit; Qde; SeqLan; CodEst; ObsItem; Cfop; IPI; ICMS; CFiscal; SitTrib,media
config_admin,PedVenda,EST\FILIAL\PedVenda.DB,2048,18,outro:6; id_codigo:5; data_hora:2; valor_monetario:2; cliente_ref:1; status_situacao:1; texto_observacao:1,SeqPed; DatPed; CodFor; Cancelado; Disp1; NotFisPed; DatConfPed; ValTotal; Baixa; CodEst; DescPed; Contato; CodVen; NumOS; Obs; CodCon; EmitNot; EmitBol,media
config_admin,PedVendaCanc,EST\FILIAL\PedVendaCanc.DB,2048,5,outro:1; data_hora:1; ordem_rol_ref:1; texto_observacao:1; id_codigo:1,SeqPed; DatCan; HorCan; MotivoCan; CodUsuario,media
config_admin,PedVenItem,EST\FILIAL\PedVenItem.DB,2048,16,outro:7; fiscal_documento:5; status_situacao:2; id_codigo:1; valor_monetario:1,SeqPed; CodProEst; SeqPro; ValUnit; Qde; Disp1; SeqConf; ValFinal; DescItem; Confirmado; ObsItem; Cfop; IPI; ICMS; CFiscal; SitTrib,media
config_admin,Inis,Estruturas\Inis.DB,419840,11,outro:9; id_codigo:1; valor_monetario:1,UNIT; FUNCAO; SECAO; CHAVE; DESCRICAO; ATIVACAO; GRUPO1; GRUPO2; TIPO; LOCAL; SISTEMA,media
config_admin,Parametros,Estruturas\Parametros.DB,1198080,16,outro:16,Sistema; Grupo; Parametro; GrupoExibido; TextoExibido; Tipo; ConteudoPadrao; Caminho; Tamanho; TipoComp; Local; NomIni; PorFilial; Detalhes; Unit; Caminho2,media
config_admin,ParamOpcao,Estruturas\ParamOpcao.DB,133120,4,outro:4,Sistema; Grupo; Parametro; Opcao,media
config_admin,Sistemas,Estruturas\Sistemas.DB,24576,8,outro:5; id_codigo:1; ordem_rol_ref:1; texto_observacao:1,CodSistema; NomSistema; Tipo; Versao; ControlaSenha; CaminhoOrigem; Executavel; NomeCompact,media
config_admin,CadSistema,Ger\Dados\CadSistema.DB,2048,6,texto_observacao:2; id_codigo:1; outro:1; cliente_ref:1; data_hora:1,CodSistema; DesSistema; ObsSistema; Cancelado; MotivoCan; DatCan,media
config_admin,GruMiniLav,Ger\Dados\GruMiniLav.DB,2048,5,outro:2; cliente_ref:1; data_hora:1; texto_observacao:1,GruMiniLav; DesGruMiniLav; Cancelado; DatCan; MotivoCan,media
config_admin,NovoReg.BD,Ger\Dados\NovoReg.BD.DB,2048,1,outro:1,NovoReg,media
config_admin,NovoReg,Ger\Dados\NovoReg.DB,2048,1,outro:1,NovoReg,media
config_admin,NovoReg.db,Ger\Dados\NovoReg.db.DB,2048,1,outro:1,NovoReg,media
config_admin,NovoRegBD,Ger\Dados\NovoRegBD.DB,2048,1,outro:1,NovoReg,media
config_admin,TelFilial,Ger\Dados\TelFilial.DB,2048,4,outro:2; id_codigo:1; texto_observacao:1,NumTel; Finalidade; DiaVen; EmNome,media
config_admin,CadCai,Ger\Filial\CadCai.DB,1214464,17,id_codigo:8; outro:7; texto_observacao:1; data_hora:1,SeqCai; Histor; DatLan; ValCai; TipLan; CodCla; CodSubC; SeqDes; TipOpe; CodOpe; CodUsuario; SeqBan; NumBan; CodCenCus; CodClaProj; CodUnid; HorLan,media
config_admin,CadDes,Ger\Filial\CadDes.DB,2048,10,outro:5; id_codigo:3; texto_observacao:1; data_hora:1,SeqDes; Histor; DatLan; ValDes; TipLan; SeqCai; CodCla; CodSubC; FixLan; CodCenCus,media
config_admin,CadMaq,Ger\Filial\CadMaq.DB,2048,6,texto_observacao:2; id_codigo:1; outro:1; cliente_ref:1; data_hora:1,CodMaq; DesMaq; Cancelado; DatCan; MotivoCan; Obs,media
config_admin,Cheque1,Ger\Filial\Cheque1.DB,2048,14,outro:7; data_hora:3; id_codigo:1; cliente_ref:1; texto_observacao:1; usuario_auditoria:1,Banco; NumChe; TipChe; ValChe; SeqLan; ChePre; DatChe; Cancelado; MotivoCanc; DatCanc; SeqLanPar; Nominal; DatChePre; UsuarioChe,media
