"Tipo","CodUsuario","CodFil","CodSistema","Rotina","Op","NivelI","NivelA","NivelE","NivelT","DatCad","HorCad","ResUsuario"
"","ATENDJR","QL001","LAVSOFT","","MovimentoResumidoNotaFiscal1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","MovimentoServicoMensal1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","MovimentoSintetico1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","MovimentoSintticoEntrada1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","MovimentoporDiadeSemana1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","Parametros1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","Passadoria1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","PgtosporTabela1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","PontosEntregues1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","PrevisoEntrega1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","ROlsPagos1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","RSL1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","ReciboCaixa1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","RelControlePontos1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","RelEstoquenoCli1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","RelFatPrecos1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","RelFreCli1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","RelatConfRol1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","RelatorioparaEntrega1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","ResFatDiaDia1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","ResFatNotFis1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","ResTipTabEmp1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","ResTipTabGru1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","Resumida1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","ResumoPorEmpree1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","RolsCancelados1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","SB_MudaValBase","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","SaldoControleEntrada1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","SituacaodoRols1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","TabeladePreco1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","TiposdeDescontos1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","TiposdeEntrada1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","TiposdeServico1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","TiposdeTecido1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","TransporteporNota1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","Usuarios1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","FRANQ","QL001","LAVSOFT","","Parametros1","","","","","17/04/2008 00:00:00","30/12/1899 10:27:56",""
"","PERFATEND","QL001","LAVSOFT","","Alterao1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","AnaMovDia1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","Anotacoes1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","CFAbertura1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","CFDestravaImpressoraFiscal1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","CFFechamento1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","CFFechamentoParcial1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","CFFundodeCaixa1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","CFHorarioVerao1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","CFLeituraMemriaFiscal1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","CFLeituraX1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","CFSangriaCaixa1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","CaixaDiaDia1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","CancAdi","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","CancPag","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","Cancelamento2","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","CancelamentoNotaFiscal1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","CancelamentodaNota1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","CancelamentodeNotasIntervalo1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","Caractersticas1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","CartadeCobranca1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","ComissaoPagamento1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","ComissoRol1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","CondicaodePagamento1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","ControledeCaixa1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","ControledeLavagem1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","ControledeMetas1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","Cores1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","CreditosemAberto1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","Criticas1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","Custos1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","Defeitos1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","DescontoPorc1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","DescontoporValor1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","DescontosnoRol1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","Devoluo1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","DevoluoPagamento1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","Ed_PorcDescontoPag","","","","","17/04/2008 00:00:00","30/12/1899 10:03:14",""
"","PERFATEND","QL001","LAVSOFT","","Ed_ValPag","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","EmissaodeCartao1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","Encerramento1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","EntradaEstoque1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","EntradaRol1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","EnviaEmail1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","Etiquetas1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","ExcluiConfiguraoColunas1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","Faturamento1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","Feriados1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","FiliaisMatriz1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","FormadePagamento1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","GravaColunas1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","GrupoEntradas1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","Importacao1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","Inclusao1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","Listagem1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","Localizacao1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","LogSistema1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","MalaDiretaRemetente1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","Manutencao1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","Marcas1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","MenuEntradaRol1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","MovGrupoClientes1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","MovProAna1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","MovProAnaSer1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","MovProSin1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","MovProdServ1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","MovimentoAnalitico1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","MovimentoAnaliticoEntrada1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","MovimentoEntradaSaidaSinttico1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","MovimentoPorServicoSintetico1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","MovimentoPorServicosExecutados1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","MovimentoPorServicosPeso1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","MovimentoProduto1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","MovimentoProdutoMensal1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","MovimentoResumidoNotaFiscal1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","MovimentoServicoMensal1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","MovimentoSintetico1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
