"Tipo","CodUsuario","CodFil","CodSistema","Rotina","Op","NivelI","NivelA","NivelE","NivelT","ResUsuario"
"","PERFATEND","QL001","LAVSOFT","","AnaMovDia1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","Anotacoes1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","CFAbertura1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","CFDestravaImpressoraFiscal1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","CFFechamento1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","CFFechamentoParcial1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","CFFundodeCaixa1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","CFHorarioVerao1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","CFLeituraMemriaFiscal1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","CFLeituraX1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","CFSangriaCaixa1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","CaixaDiaDia1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","CancAdi","","","","",""
"","PERFATEND","QL001","LAVSOFT","","CancPag","","","","",""
"","PERFATEND","QL001","LAVSOFT","","Cancelamento2","","","","",""
"","PERFATEND","QL001","LAVSOFT","","CancelamentoNotaFiscal1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","CancelamentodaNota1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","CancelamentodeNotasIntervalo1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","Caractersticas1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","CartadeCobranca1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","ComissaoPagamento1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","ComissoRol1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","CondicaodePagamento1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","ControledeCaixa1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","ControledeLavagem1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","ControledeMetas1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","Cores1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","CreditosemAberto1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","Criticas1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","Custos1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","Defeitos1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","DescontoPorc1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","DescontoporValor1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","DescontosnoRol1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","Devoluo1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","DevoluoPagamento1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","Ed_PorcDescontoPag","","","","",""
"","PERFATEND","QL001","LAVSOFT","","Ed_ValPag","","","","",""
"","PERFATEND","QL001","LAVSOFT","","EmissaodeCartao1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","Encerramento1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","EntradaEstoque1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","EntradaRol1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","EnviaEmail1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","Etiquetas1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","ExcluiConfiguraoColunas1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","Faturamento1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","Feriados1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","FiliaisMatriz1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","FormadePagamento1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","GravaColunas1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","GrupoEntradas1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","Importacao1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","Inclusao1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","Listagem1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","Localizacao1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","LogSistema1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","MalaDiretaRemetente1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","Manutencao1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","Marcas1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","MenuEntradaRol1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","MovGrupoClientes1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","MovProAna1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","MovProAnaSer1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","MovProSin1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","MovProdServ1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","MovimentoAnalitico1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","MovimentoAnaliticoEntrada1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","MovimentoEntradaSaidaSinttico1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","MovimentoPorServicoSintetico1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","MovimentoPorServicosExecutados1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","MovimentoPorServicosPeso1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","MovimentoProduto1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","MovimentoProdutoMensal1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","MovimentoResumidoNotaFiscal1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","MovimentoServicoMensal1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","MovimentoSintetico1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","MovimentoSintticoEntrada1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","MovimentoporDiadeSemana1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","Parametros1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","Passadoria1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","PgtosporTabela1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","PontosEntregues1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","PrevisoEntrega1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","ROlsPagos1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","RSL1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","ReciboCaixa1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","RelControlePontos1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","RelEstoquenoCli1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","RelFatPrecos1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","RelFreCli1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","RelatConfRol1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","RelatorioparaEntrega1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","ResFatDiaDia1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","ResFatNotFis1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","ResTipTabEmp1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","ResTipTabGru1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","Resumida1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","ResumoPorEmpree1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","RolsCancelados1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","SB_MudaValBase","","","","",""
"","PERFATEND","QL001","LAVSOFT","","SaldoControleEntrada1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","TabeladePreco1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","Terceirizacao1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","TiposdeDescontos1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","TiposdeEntrada1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","TiposdeServico1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","TiposdeTecido1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","TransporteporNota1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","Usuarios1","","","","",""
"","PONTO","QL001","LAVSOFT","","AlteraCliente1","","","","",""
"","PONTO","QL001","LAVSOFT","","Alterao1","","","","",""
"","PONTO","QL001","LAVSOFT","","AnaMovDia1","","","","",""
"","PONTO","QL001","LAVSOFT","","Anotacoes1","","","","",""
"","PONTO","QL001","LAVSOFT","","AtuEstrutura1","","","","",""
"","PONTO","QL001","LAVSOFT","","CFAbertura1","","","","",""
"","PONTO","QL001","LAVSOFT","","CFDestravaImpressoraFiscal1","","","","",""
"","PONTO","QL001","LAVSOFT","","CFFechamento1","","","","",""
"","PONTO","QL001","LAVSOFT","","CFFechamentoParcial1","","","","",""
"","PONTO","QL001","LAVSOFT","","CFFundodeCaixa1","","","","",""
"","PONTO","QL001","LAVSOFT","","CFHorarioVerao1","","","","",""
"","PONTO","QL001","LAVSOFT","","CFLeituraMemriaFiscal1","","","","",""
"","PONTO","QL001","LAVSOFT","","CFLeituraX1","","","","",""
"","PONTO","QL001","LAVSOFT","","CFSangriaCaixa1","","","","",""
"","PONTO","QL001","LAVSOFT","","CaixaDiaDia1","","","","",""
"","PONTO","QL001","LAVSOFT","","CancAdi","","","","",""
"","PONTO","QL001","LAVSOFT","","CancPag","","","","",""
"","PONTO","QL001","LAVSOFT","","Cancelamento2","","","","",""
"","PONTO","QL001","LAVSOFT","","CancelamentoNotaFiscal1","","","","",""
"","PONTO","QL001","LAVSOFT","","CancelamentodaNota1","","","","",""
"","PONTO","QL001","LAVSOFT","","CancelamentodeNotasIntervalo1","","","","",""
"","PONTO","QL001","LAVSOFT","","Caractersticas1","","","","",""
"","PONTO","QL001","LAVSOFT","","CartadeCobranca1","","","","",""
"","PONTO","QL001","LAVSOFT","","ClientesCad1","","","","",""
"","PONTO","QL001","LAVSOFT","","CobrancaDiversas","","","","",""
"","PONTO","QL001","LAVSOFT","","ComissaoPagamento1","","","","",""
"","PONTO","QL001","LAVSOFT","","ComissoRol1","","","","",""
"","PONTO","QL001","LAVSOFT","","ConIntEntrega1","","","","",""
"","PONTO","QL001","LAVSOFT","","CondicaodePagamento1","","","","",""
"","PONTO","QL001","LAVSOFT","","ContasRapidas1","","","","",""
"","PONTO","QL001","LAVSOFT","","ControledeCaixa1","","","","",""
"","PONTO","QL001","LAVSOFT","","ControledeLavagem1","","","","",""
"","PONTO","QL001","LAVSOFT","","ControledeMetas1","","","","",""
"","PONTO","QL001","LAVSOFT","","Cores1","","","","",""
"","PONTO","QL001","LAVSOFT","","Crditos2","","","","",""
"","PONTO","QL001","LAVSOFT","","CreditosemAberto1","","","","",""
"","PONTO","QL001","LAVSOFT","","Criticas1","","","","",""
"","PONTO","QL001","LAVSOFT","","Custos1","","","","",""
"","PONTO","QL001","LAVSOFT","","Defeitos1","","","","",""
"","PONTO","QL001","LAVSOFT","","Delivery1","","","","",""
"","PONTO","QL001","LAVSOFT","","DescontoPorc1","","","","",""
"","PONTO","QL001","LAVSOFT","","DescontoporValor1","","","","",""
