"File","FileName","Extension","Machine","ImportedDll"
"D:\AtelieProd\Equipexe\Exe\LSLavSoft.exe","LSLavSoft.exe",".exe","0x014C","shell32.dll"
"D:\AtelieProd\Equipexe\Exe\Lspt.exe","Lspt.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\Lspt.exe","Lspt.exe",".exe","0x014C","user32.dll"
"D:\AtelieProd\Equipexe\Exe\Lspt.exe","Lspt.exe",".exe","0x014C","advapi32.dll"
"D:\AtelieProd\Equipexe\Exe\Lspt.exe","Lspt.exe",".exe","0x014C","oleaut32.dll"
"D:\AtelieProd\Equipexe\Exe\Lspt.exe","Lspt.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\Lspt.exe","Lspt.exe",".exe","0x014C","advapi32.dll"
"D:\AtelieProd\Equipexe\Exe\Lspt.exe","Lspt.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\Lspt.exe","Lspt.exe",".exe","0x014C","version.dll"
"D:\AtelieProd\Equipexe\Exe\Lspt.exe","Lspt.exe",".exe","0x014C","gdi32.dll"
"D:\AtelieProd\Equipexe\Exe\Lspt.exe","Lspt.exe",".exe","0x014C","user32.dll"
"D:\AtelieProd\Equipexe\Exe\Lspt.exe","Lspt.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\Lspt.exe","Lspt.exe",".exe","0x014C","oleaut32.dll"
"D:\AtelieProd\Equipexe\Exe\Lspt.exe","Lspt.exe",".exe","0x014C","ole32.dll"
"D:\AtelieProd\Equipexe\Exe\Lspt.exe","Lspt.exe",".exe","0x014C","oleaut32.dll"
"D:\AtelieProd\Equipexe\Exe\Lspt.exe","Lspt.exe",".exe","0x014C","comctl32.dll"
"D:\AtelieProd\Equipexe\Exe\Lspt.exe","Lspt.exe",".exe","0x014C","shell32.dll"
"D:\AtelieProd\Equipexe\Exe\MachLavLoc.exe","MachLavLoc.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\MachLavLoc.exe","MachLavLoc.exe",".exe","0x014C","user32.dll"
"D:\AtelieProd\Equipexe\Exe\MachLavLoc.exe","MachLavLoc.exe",".exe","0x014C","advapi32.dll"
"D:\AtelieProd\Equipexe\Exe\MachLavLoc.exe","MachLavLoc.exe",".exe","0x014C","oleaut32.dll"
"D:\AtelieProd\Equipexe\Exe\MachLavLoc.exe","MachLavLoc.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\MachLavLoc.exe","MachLavLoc.exe",".exe","0x014C","advapi32.dll"
"D:\AtelieProd\Equipexe\Exe\MachLavLoc.exe","MachLavLoc.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\MachLavLoc.exe","MachLavLoc.exe",".exe","0x014C","version.dll"
"D:\AtelieProd\Equipexe\Exe\MachLavLoc.exe","MachLavLoc.exe",".exe","0x014C","gdi32.dll"
"D:\AtelieProd\Equipexe\Exe\MachLavLoc.exe","MachLavLoc.exe",".exe","0x014C","user32.dll"
"D:\AtelieProd\Equipexe\Exe\MachLavLoc.exe","MachLavLoc.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\MachLavLoc.exe","MachLavLoc.exe",".exe","0x014C","oleaut32.dll"
"D:\AtelieProd\Equipexe\Exe\MachLavLoc.exe","MachLavLoc.exe",".exe","0x014C","ole32.dll"
"D:\AtelieProd\Equipexe\Exe\MachLavLoc.exe","MachLavLoc.exe",".exe","0x014C","oleaut32.dll"
"D:\AtelieProd\Equipexe\Exe\MachLavLoc.exe","MachLavLoc.exe",".exe","0x014C","comctl32.dll"
"D:\AtelieProd\Equipexe\Exe\MachLavLoc.exe","MachLavLoc.exe",".exe","0x014C","shell32.dll"
"D:\AtelieProd\Equipexe\Exe\midas.dll","midas.dll",".dll","0x014C","ADVAPI32.DLL"
"D:\AtelieProd\Equipexe\Exe\midas.dll","midas.dll",".dll","0x014C","KERNEL32.DLL"
"D:\AtelieProd\Equipexe\Exe\midas.dll","midas.dll",".dll","0x014C","USER32.DLL"
"D:\AtelieProd\Equipexe\Exe\midas.dll","midas.dll",".dll","0x014C","OLE32.DLL"
"D:\AtelieProd\Equipexe\Exe\midas.dll","midas.dll",".dll","0x014C","OLEAUT32.DLL"
"D:\AtelieProd\Equipexe\Exe\MP2032.DLL","MP2032.DLL",".DLL","0x014C","KERNEL32.dll"
"D:\AtelieProd\Equipexe\Exe\MP2032.DLL","MP2032.DLL",".DLL","0x014C","USER32.dll"
"D:\AtelieProd\Equipexe\Exe\MP2032.DLL","MP2032.DLL",".DLL","0x014C","ADVAPI32.dll"
"D:\AtelieProd\Equipexe\Exe\MP20FI32.DLL","MP20FI32.DLL",".DLL","0x014C","KERNEL32.dll"
"D:\AtelieProd\Equipexe\Exe\MP20FI32.DLL","MP20FI32.DLL",".DLL","0x014C","USER32.dll"
"D:\AtelieProd\Equipexe\Exe\MSJET35.dll","MSJET35.dll",".dll","0x014C","KERNEL32.dll"
"D:\AtelieProd\Equipexe\Exe\MSJET35.dll","MSJET35.dll",".dll","0x014C","USER32.dll"
"D:\AtelieProd\Equipexe\Exe\MSJET35.dll","MSJET35.dll",".dll","0x014C","ADVAPI32.dll"
"D:\AtelieProd\Equipexe\Exe\MSJET35.dll","MSJET35.dll",".dll","0x014C","ole32.dll"
"D:\AtelieProd\Equipexe\Exe\MSJET35.dll","MSJET35.dll",".dll","0x014C","OLEAUT32.dll"
"D:\AtelieProd\Equipexe\Exe\MSVCRT.DLL","MSVCRT.DLL",".DLL","0x014C","KERNEL32.dll"
"D:\AtelieProd\Equipexe\Exe\NBioBSP.dll","NBioBSP.dll",".dll","0x014C","KERNEL32.dll"
"D:\AtelieProd\Equipexe\Exe\NBioBSP.dll","NBioBSP.dll",".dll","0x014C","USER32.dll"
"D:\AtelieProd\Equipexe\Exe\NBioBSP.dll","NBioBSP.dll",".dll","0x014C","GDI32.dll"
"D:\AtelieProd\Equipexe\Exe\NBioBSP.dll","NBioBSP.dll",".dll","0x014C","WINSPOOL.DRV"
"D:\AtelieProd\Equipexe\Exe\NBioBSP.dll","NBioBSP.dll",".dll","0x014C","ADVAPI32.dll"
"D:\AtelieProd\Equipexe\Exe\NBioBSP.dll","NBioBSP.dll",".dll","0x014C","COMCTL32.dll"
"D:\AtelieProd\Equipexe\Exe\NBioBSP.dll","NBioBSP.dll",".dll","0x014C","VERSION.dll"
"D:\AtelieProd\Equipexe\Exe\NFE.exe","NFE.exe",".exe","0x014C","oleaut32.dll"
"D:\AtelieProd\Equipexe\Exe\NFE.exe","NFE.exe",".exe","0x014C","advapi32.dll"
"D:\AtelieProd\Equipexe\Exe\NFE.exe","NFE.exe",".exe","0x014C","user32.dll"
"D:\AtelieProd\Equipexe\Exe\NFE.exe","NFE.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\NFE.exe","NFE.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\NFE.exe","NFE.exe",".exe","0x014C","user32.dll"
"D:\AtelieProd\Equipexe\Exe\NFE.exe","NFE.exe",".exe","0x014C","msimg32.dll"
"D:\AtelieProd\Equipexe\Exe\NFE.exe","NFE.exe",".exe","0x014C","gdi32.dll"
"D:\AtelieProd\Equipexe\Exe\NFE.exe","NFE.exe",".exe","0x014C","version.dll"
"D:\AtelieProd\Equipexe\Exe\NFE.exe","NFE.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\NFE.exe","NFE.exe",".exe","0x014C","advapi32.dll"
"D:\AtelieProd\Equipexe\Exe\NFE.exe","NFE.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\NFE.exe","NFE.exe",".exe","0x014C","ole32.dll"
"D:\AtelieProd\Equipexe\Exe\NFE.exe","NFE.exe",".exe","0x014C","oleaut32.dll"
"D:\AtelieProd\Equipexe\Exe\NFE.exe","NFE.exe",".exe","0x014C","ole32.dll"
"D:\AtelieProd\Equipexe\Exe\NFE.exe","NFE.exe",".exe","0x014C","oleaut32.dll"
"D:\AtelieProd\Equipexe\Exe\NFE.exe","NFE.exe",".exe","0x014C","comctl32.dll"
"D:\AtelieProd\Equipexe\Exe\NFE.exe","NFE.exe",".exe","0x014C","user32.dll"
"D:\AtelieProd\Equipexe\Exe\NFE.exe","NFE.exe",".exe","0x014C","msvcrt.dll"
"D:\AtelieProd\Equipexe\Exe\NFE.exe","NFE.exe",".exe","0x014C","shell32.dll"
"D:\AtelieProd\Equipexe\Exe\NFE.exe","NFE.exe",".exe","0x014C","wininet.dll"
"D:\AtelieProd\Equipexe\Exe\NFE.exe","NFE.exe",".exe","0x014C","comdlg32.dll"
"D:\AtelieProd\Equipexe\Exe\NFE.exe","NFE.exe",".exe","0x014C","winspool.drv"
"D:\AtelieProd\Equipexe\Exe\NFE.exe","NFE.exe",".exe","0x014C","winspool.drv"
"D:\AtelieProd\Equipexe\Exe\NFE.exe","NFE.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\NFE.exe","NFE.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\NFE.exe","NFE.exe",".exe","0x014C","lotenfse.dll"
"D:\AtelieProd\Equipexe\Exe\NFSe_Util_nat.dll","NFSe_Util_nat.dll",".dll","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\NFSe_Util_nat.dll","NFSe_Util_nat.dll",".dll","0x014C","user32.dll"
"D:\AtelieProd\Equipexe\Exe\NFSe_Util_nat.dll","NFSe_Util_nat.dll",".dll","0x014C","advapi32.dll"
"D:\AtelieProd\Equipexe\Exe\NFSe_Util_nat.dll","NFSe_Util_nat.dll",".dll","0x014C","oleaut32.dll"
"D:\AtelieProd\Equipexe\Exe\NFSe_Util_nat.dll","NFSe_Util_nat.dll",".dll","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\NFSe_Util_nat.dll","NFSe_Util_nat.dll",".dll","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\NFSe_Util_nat.dll","NFSe_Util_nat.dll",".dll","0x014C","user32.dll"
"D:\AtelieProd\Equipexe\Exe\NFSe_Util_nat.dll","NFSe_Util_nat.dll",".dll","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\NFSe_Util_nat.dll","NFSe_Util_nat.dll",".dll","0x014C","oleaut32.dll"
"D:\AtelieProd\Equipexe\Exe\NFSe_Util.dll","NFSe_Util.dll",".dll","0x014C","mscoree.dll"
"D:\AtelieProd\Equipexe\Exe\NImgConv.dll","NImgConv.dll",".dll","0x014C","MSVCRT.dll"
"D:\AtelieProd\Equipexe\Exe\NImgConv.dll","NImgConv.dll",".dll","0x014C","MFC42.DLL"
"D:\AtelieProd\Equipexe\Exe\NImgConv.dll","NImgConv.dll",".dll","0x014C","KERNEL32.dll"
"D:\AtelieProd\Equipexe\Exe\NImgConv.dll","NImgConv.dll",".dll","0x014C","USER32.dll"
"D:\AtelieProd\Equipexe\Exe\NMOCOD.DLL","NMOCOD.DLL",".DLL","0x014C","NMSCKN.DLL"
"D:\AtelieProd\Equipexe\Exe\NMOCOD.DLL","NMOCOD.DLL",".DLL","0x014C","MSVCRT40.dll"
"D:\AtelieProd\Equipexe\Exe\NMOCOD.DLL","NMOCOD.DLL",".DLL","0x014C","KERNEL32.dll"
"D:\AtelieProd\Equipexe\Exe\NMOCOD.DLL","NMOCOD.DLL",".DLL","0x014C","USER32.dll"
"D:\AtelieProd\Equipexe\Exe\NMOCOD.DLL","NMOCOD.DLL",".DLL","0x014C","ole32.dll"
"D:\AtelieProd\Equipexe\Exe\NMOCOD.DLL","NMOCOD.DLL",".DLL","0x014C","ADVAPI32.dll"
"D:\AtelieProd\Equipexe\Exe\NMOCOD.DLL","NMOCOD.DLL",".DLL","0x014C","OLEAUT32.dll"
"D:\AtelieProd\Equipexe\Exe\NMOCOD.DLL","NMOCOD.DLL",".DLL","0x014C","GDI32.dll"
"D:\AtelieProd\Equipexe\Exe\NSearch.dll","NSearch.dll",".dll","0x014C","KERNEL32.dll"
"D:\AtelieProd\Equipexe\Exe\ntwdblib.dll","ntwdblib.dll",".dll","0x014C","KERNEL32.dll"
"D:\AtelieProd\Equipexe\Exe\ntwdblib.dll","ntwdblib.dll",".dll","0x014C","ADVAPI32.dll"
"D:\AtelieProd\Equipexe\Exe\ntwdblib.dll","ntwdblib.dll",".dll","0x014C","MSVCRT.dll"
"D:\AtelieProd\Equipexe\Exe\ntwdblib.dll","ntwdblib.dll",".dll","0x014C","USER32.dll"
"D:\AtelieProd\Equipexe\Exe\ntwdblib.dll","ntwdblib.dll",".dll","0x014C","NETAPI32.dll"
"D:\AtelieProd\Equipexe\Exe\OLEPRO32.DLL","OLEPRO32.DLL",".DLL","0x014C","KERNEL32.dll"
"D:\AtelieProd\Equipexe\Exe\OLEPRO32.DLL","OLEPRO32.DLL",".DLL","0x014C","USER32.dll"
"D:\AtelieProd\Equipexe\Exe\OLEPRO32.DLL","OLEPRO32.DLL",".DLL","0x014C","GDI32.dll"
"D:\AtelieProd\Equipexe\Exe\OLEPRO32.DLL","OLEPRO32.DLL",".DLL","0x014C","ole32.dll"
"D:\AtelieProd\Equipexe\Exe\OLEPRO32.DLL","OLEPRO32.DLL",".DLL","0x014C","ADVAPI32.dll"
"D:\AtelieProd\Equipexe\Exe\OLEPRO32.DLL","OLEPRO32.DLL",".DLL","0x014C","OLEAUT32.dll"
"D:\AtelieProd\Equipexe\Exe\Parametros.exe","Parametros.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\Parametros.exe","Parametros.exe",".exe","0x014C","user32.dll"
"D:\AtelieProd\Equipexe\Exe\Parametros.exe","Parametros.exe",".exe","0x014C","advapi32.dll"
"D:\AtelieProd\Equipexe\Exe\Parametros.exe","Parametros.exe",".exe","0x014C","oleaut32.dll"
"D:\AtelieProd\Equipexe\Exe\Parametros.exe","Parametros.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\Parametros.exe","Parametros.exe",".exe","0x014C","advapi32.dll"
"D:\AtelieProd\Equipexe\Exe\Parametros.exe","Parametros.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\Parametros.exe","Parametros.exe",".exe","0x014C","version.dll"
"D:\AtelieProd\Equipexe\Exe\Parametros.exe","Parametros.exe",".exe","0x014C","gdi32.dll"
"D:\AtelieProd\Equipexe\Exe\Parametros.exe","Parametros.exe",".exe","0x014C","user32.dll"
"D:\AtelieProd\Equipexe\Exe\Parametros.exe","Parametros.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\Parametros.exe","Parametros.exe",".exe","0x014C","oleaut32.dll"
"D:\AtelieProd\Equipexe\Exe\Parametros.exe","Parametros.exe",".exe","0x014C","ole32.dll"
"D:\AtelieProd\Equipexe\Exe\Parametros.exe","Parametros.exe",".exe","0x014C","oleaut32.dll"
"D:\AtelieProd\Equipexe\Exe\Parametros.exe","Parametros.exe",".exe","0x014C","comctl32.dll"
"D:\AtelieProd\Equipexe\Exe\Parametros.exe","Parametros.exe",".exe","0x014C","winspool.drv"
"D:\AtelieProd\Equipexe\Exe\Parametros.exe","Parametros.exe",".exe","0x014C","comdlg32.dll"
"D:\AtelieProd\Equipexe\Exe\Pcp.exe","Pcp.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\Pcp.exe","Pcp.exe",".exe","0x014C","user32.dll"
"D:\AtelieProd\Equipexe\Exe\Pcp.exe","Pcp.exe",".exe","0x014C","advapi32.dll"
"D:\AtelieProd\Equipexe\Exe\Pcp.exe","Pcp.exe",".exe","0x014C","oleaut32.dll"
"D:\AtelieProd\Equipexe\Exe\Pcp.exe","Pcp.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\Pcp.exe","Pcp.exe",".exe","0x014C","advapi32.dll"
"D:\AtelieProd\Equipexe\Exe\Pcp.exe","Pcp.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\Pcp.exe","Pcp.exe",".exe","0x014C","version.dll"
"D:\AtelieProd\Equipexe\Exe\Pcp.exe","Pcp.exe",".exe","0x014C","gdi32.dll"
"D:\AtelieProd\Equipexe\Exe\Pcp.exe","Pcp.exe",".exe","0x014C","user32.dll"
"D:\AtelieProd\Equipexe\Exe\Pcp.exe","Pcp.exe",".exe","0x014C","ole32.dll"
"D:\AtelieProd\Equipexe\Exe\Pcp.exe","Pcp.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\Pcp.exe","Pcp.exe",".exe","0x014C","oleaut32.dll"
"D:\AtelieProd\Equipexe\Exe\Pcp.exe","Pcp.exe",".exe","0x014C","ole32.dll"
"D:\AtelieProd\Equipexe\Exe\Pcp.exe","Pcp.exe",".exe","0x014C","oleaut32.dll"
"D:\AtelieProd\Equipexe\Exe\Pcp.exe","Pcp.exe",".exe","0x014C","comctl32.dll"
"D:\AtelieProd\Equipexe\Exe\Pcp.exe","Pcp.exe",".exe","0x014C","winspool.drv"
"D:\AtelieProd\Equipexe\Exe\Pcp.exe","Pcp.exe",".exe","0x014C","comdlg32.dll"
"D:\AtelieProd\Equipexe\Exe\Pcp.exe","Pcp.exe",".exe","0x014C","winmm.dll"
